文件名,编,分编,章,节,内容
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第一条 为了加强和规范人民防空工程维护管理工作促进新型城镇化发展确保人民防空工程的战时防护能力保护人民群众生命财产安全根据《中华人民共和国民法典》《中华人民共和国人民防空法》《贵州省人民防空条例》等法律、法规的规定结合自治州实际制定本条例。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第二条 自治州行政区域内各类人民防空工程及其附属设施的维护管理工作适用本条例。人民防空工程包括为保障战时人员与物资掩蔽、人民防空指挥、医疗救护等而单独修建的地下防护建筑以及结合地面建筑修建的战时可用于防空的地下室。本条例所称人民防空工程维护管理是指对人民防空工程进行维修、保养、保护的计划、组织、指导和监督。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第三条 城市新建民用建筑应当依照法律、法规和有关规定修建防空地下室。因地质、地形等客观条件限制不宜修建的建设单位经依法报请人民防空主管部门批准可以不修建防空地下室但应当缴纳易地建设费由人民防空主管部门统一规划修建公用的人民防空工程。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第四条 县级以上人民政府人民防空主管部门负责监督检查、指导本行政区域内的人民防空工程维护管理工作。县级以上人民政府发展和改革、工业和信息化、公安、财政、自然资源、住房和城乡建设、卫生健康、应急管理、国有资产监督管理、消防救援等部门应当在各自的职责范围内依法开展人民防空工程维护管理监督检查工作。乡镇人民政府、街道办事处应当协助有关部门开展人民防空工程维护管理监督检查工作。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第五条 县级以上人民政府应当按照长期准备、重点建设、平战结合要求组织修建能够适应战时使用需要的人民防空指挥工程、公用的人员掩蔽工程和疏散干道工程及附属设施。支持鼓励企业事业组织、社会团体和个人投资修建人民防空工程并按照规定享受优惠政策。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第六条 除国防战备需要外具有下列情形之一的可以不修建防空地下室、不缴纳易地建设费
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第七条 人民防空工程的所有权归属依照《中华人民共和国民法典》等法律的规定确定。人民防空工程可以依法办理不动产登记不动产登记机构应当在不动产登记簿和附栏注明人民防空工程。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第八条 人民防空工程的投资人是人民防空工程维护管理责任人投资人与其他管理人、使用人另有约定的除外。人民防空工程的维护管理经费由人民防空工程维护管理责任人承担。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第九条 人民防空工程维护管理责任人应当按照国家和省有关标准和规范保持人民防空工程及其附属设施完好确保人民防空工程处于良好使用状态并符合下列要求严重锈蚀等现象正常放并保持状态良好空间和改变设计功能
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第十条 人民防空工程维护管理责任人是单位的应当指定专人负责维护管理工作建立健全岗位责任、定期检查维修保养、安全管理、消防管理、技能培训、档案管理等制度按照人民防空工程维护管理技术规范执行维护保养措施。维护管理责任单位变更的原责任单位应当向新责任单位衔接落实维护管理工作移交管理档案等资料并报人民防空主管部门备案。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第十一条 任何单位和个人不得有下列行为属设施他废弃物通道设置障碍石、挖砂、爆破、打桩、取土、伐木、破坏植被、修建地面或者地下建筑剧毒、放射性和腐蚀性物品
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第十二条 除涉密的专项人民防空工程外鼓励支持单位或者个人在不影响防护功能的前提下按照有关规定开发利用人民防空工程实行平战结合。人民防空工程平时由投资人、管理人或者使用人使用管理收益归其所有。平时利用人民防空工程不得损坏人民防空工程及其附属设施不得妨碍平战转换。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第十三条 人民防空工程在战时或者抢险、救灾等紧急状态下由政府统一调配使用任何单位和个人应当服从不得阻挠和干涉。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第十四条 人民防空主管部门以及相关部门履行监督检查职责时有权采取下列措施人民防空工程维护管理责任人应当予以配合情况、维修保养记录以及相关档案资料题作出解释或者说明为。监督检查中发现的重大事故隐患在排除过程中无法保证安全的维护管理责任人应当划定危险警示区域并确保其他部分安全使用。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第十五条 违反本条例第十一条第一项至第四项规定的由县级以上人民政府人民防空主管部门给予警告责令限期改正对个人并可处以 1000 元以上 5000 元以下罚款对单位并可处以1 万元以上 5 万元以下罚款造成损失的应当依法赔偿。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第十六条 违反本条例规定的其他行为法律、法规有处罚规定的从其规定。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第十七条 自治州人民政府可以根据本条例制定实施细则。
黔西南布依族苗族自治州人民防空工程维护管理条例,,,,,第十八条 本条例自 2024 年 1 月 1 日起施行。
