文件名,编,分编,章,节,内容
山东省农村集体资产管理条例,,,第一章 总则,,第一条 为加强农村集体资产管理保护集体资产所有者、经营者的合法权益促进农村集体经济健康发展根据国家有关法律、法规结合本省实际制定本条例。
山东省农村集体资产管理条例,,,第一章 总则,,第二条 本条例适用于本省行政区域内乡镇、村农村集体资产的管理。
山东省农村集体资产管理条例,,,第一章 总则,,第三条 本条例所称农村集体资产是指归乡镇、村集体经济组织全体成员集体所有的资产。属于组原生产队集体所有的资产仍归该组成员集体所有。本条例所称农村集体经济组织是指乡镇、村农民以生产资料集体所有形式依法组建的经济组织。
山东省农村集体资产管理条例,,,第一章 总则,,第四条 农村集体经济组织对其所有的集体资产依法享有经营、管理权。农村集体经济组织有保护集体资产的权利和义务。未建立集体经济组织的村可以由村民委员会行使集体资产的管理职能。乡镇集体经济组织不健全的由乡镇人民政府指定的机构负责管理。
山东省农村集体资产管理条例,,,第一章 总则,,第五条 县级以上人民政府农业行政主管部门和乡镇人民政府负责本行政区域内农村集体资产管理工作的统一指导和监督。农村集体资产管理的日常指导和监督工作由农村经营管理机构承担。县级以上人民政府乡镇企业、土地、水利、林业、畜牧、渔业、农机和民政、教育、科技、文化、卫生、体育等部门按照各自的职责依法对农村集体资产管理的有关工作进行业务指导和监督。
山东省农村集体资产管理条例,,,第一章 总则,,第六条 农村集体资产管理实行民主、公开、公正的原则。农村集体经济组织的成员或者村民对农村集体资产的产权状况、经营方式和管理情况等依法进行监督。
山东省农村集体资产管理条例,,,第一章 总则,,第七条 农村集体经济组织所有的集体资产受法律保护禁止任何单位和个人侵占、哄抢、挪用、私分、损坏、挥霍浪费或者非法查封、扣押、冻结、没收、平调农村集体资产以及非法用农村集体资产进行担保。
山东省农村集体资产管理条例,,,第二章 资产产权,,第八条 农村集体资产包括岭、草原、荒地、滩涂、水面等自然资源通讯、房产等基础设施教育、科技、文化、卫生、体育等公益设施运输工具、捕捞工具、农业机械等生产设施联营和中外合资、合作等各类企业中享有的权益施中占有的集体资产企业债券等有价证券以及承包、租赁、拍卖等形成的资金权等无形资产农村集体资产应当依法进行登记。
山东省农村集体资产管理条例,,,第二章 资产产权,,第九条 农村集体经济组织取得、变更或者终止集体资产所有权其集体资产数额较大的须经其集体经济组织成员大会或者成员代表大会讨论同意并在集体资产所有权取得、变更或者终止之日起三十日内向乡镇人民政府备案。法律、法规另有规定的从其规定。前款规定集体资产数额较大的具体数额由县级人民政府确定。
山东省农村集体资产管理条例,,,第二章 资产产权,,第十条 集体资产所有权的争议由当事人协商解决协商不成时当事人可申请乡镇人民政府或者上一级人民政府进行协调处理也可以直接向人民法院起诉。法律、法规另有规定的从其规定。
山东省农村集体资产管理条例,,,第三章 资产经营,,第十一条 农村集体经济组织依法决定其资产的经营方式可以实行承包、租赁、拍卖、联营、股份合作、中外合资和合作经营等多种经营方式。
山东省农村集体资产管理条例,,,第三章 资产经营,,第十二条 农村集体资产所有者与经营者之间应当依法签订合同明确双方的权利和义务。
山东省农村集体资产管理条例,,,第三章 资产经营,,第十三条 农村集体资产实行承包经营或者租赁经营的应当按照公开、公平、公正的原则确定经营者不得利用职权压价发包或者低价出租集体资产。经营者应当采取资产抵押或者其他担保方式进行承包、租赁经营并依法签订合同。
山东省农村集体资产管理条例,,,第三章 资产经营,,第十四条 农村集体经济组织直接经营集体资产的必须明确经营责任、经营目标确保集体资产保值增值。
山东省农村集体资产管理条例,,,第三章 资产经营,,第十五条 农村集体资产经营过程中有下列情形之一者应当进行资产评估经营的
山东省农村集体资产管理条例,,,第三章 资产经营,,第十六条 农村集体资产需要进行评估的由农村集体经济组织委托具有评估资格的资产评估机构进行评估其评估结果必须经农村集体经济组织成员大会或者成员代表大会确认。
山东省农村集体资产管理条例,,,第四章 资产管理,,第十七条 农村集体经济组织负责本组织集体资产的管理工作其职责是和决议
山东省农村集体资产管理条例,,,第四章 资产管理,,第十八条 下列事项必须经集体经济组织成员大会或者成员代表大会讨论通过
山东省农村集体资产管理条例,,,第四章 资产管理,,第十九条 农村集体经济组织应当建立健全产权登记、财务管理、审计监督、收益分配、资产管理、经营报告等各项制度。
山东省农村集体资产管理条例,,,第四章 资产管理,,第二十条 农村集体经济组织对集体资产实行民主管理必须建立民主理财小组定期公布账目接受本组织成员的监督。
山东省农村集体资产管理条例,,,第四章 资产管理,,第二十一条 农村集体经济组织必须严格执行财务会计制度设置相应的财会机构配备财会人员。会计人员必须按照有关规定取得会计任职资格证书持证上岗。农村集体经济组织财会人员的任免和调换必须经过集体经济组织大会或者成员代表大会讨论通过并经乡镇业务主管部门批准。
山东省农村集体资产管理条例,,,第五章 法律责任,,第二十二条 违反本条例规定利用职权非法确定承包人、压价发包或者低价出租集体资产的由县级农业行政主管部门责令限期改正造成经济损失的应当依法予以赔偿并可对直接责任人处以造成经济损失金额百分之十的罚款。截留、挪用、贪污、平调、私分等非法侵占农村集体资产的对直接责任人处以造成经济损失金额百分之十至百分之三十的罚款构成犯罪的依法追究刑事责任。
山东省农村集体资产管理条例,,,第五章 法律责任,,第二十三条 农村集体资产管理工作人员滥用职权、徇私舞弊、玩忽职守造成农村集体资产损失的应当依法赔偿并由有关部门对直接责任人给予行政处分构成犯罪的依法追究刑事责任。
山东省农村集体资产管理条例,,,第六章 附则,,第二十四条 本条例自公布之日起施行。
